python_skill,java_skill,cpp_skill,javascript_skill,html_css_skill,sql_skill,machine_learning_interest,web_development_interest,data_analysis_interest,cybersecurity_interest,statistics_skill,problem_solving,communication_skill,creativity,logical_thinking,teamwork,cloud_computing_interest,networking_skill,debugging_skill,aptitude_score,career_path
3,6,5,6,6,7,5,7,3,10,9,8,3,0,4,4,4,10,6,76,Cybersecurity Engineer
4,9,4,4,8,7,8,4,8,8,10,6,2,10,4,6,6,5,5,100,Data Analyst
10,5,7,4,7,3,6,5,4,8,5,5,4,8,7,8,7,10,7,95,Cybersecurity Engineer
4,6,1,5,7,3,6,9,5,3,8,7,4,7,7,7,10,5,9,100,Full Stack Developer
1,6,7,9,1,8,10,0,6,7,9,6,7,3,6,7,9,7,6,99,AI Engineer
9,6,9,4,6,2,5,6,1,7,7,5,7,3,6,4,5,10,7,95,Cybersecurity Engineer
5,4,8,7,7,7,10,9,5,2,10,10,0,4,4,5,2,4,1,100,AI Engineer
7,7,1,7,2,7,1,2,7,8,8,3,2,7,5,4,8,4,6,100,Data Analyst
0,4,5,7,9,7,7,3,4,7,8,5,9,3,8,4,9,4,6,90,Full Stack Developer
9,2,8,4,2,5,3,2,8,7,5,6,8,5,9,7,0,10,9,100,Cybersecurity Engineer
10,3,5,6,6,6,8,6,3,5,10,2,10,6,4,4,3,4,6,91,AI Engineer
10,3,9,4,4,6,8,3,8,5,10,10,7,3,3,5,5,5,6,100,AI Engineer
7,5,5,3,7,4,4,5,7,2,8,3,5,4,4,7,5,4,5,100,Full Stack Developer
9,6,4,9,10,4,4,9,0,4,1,9,8,10,5,5,1,7,3,63,Full Stack Developer
9,6,3,6,1,8,7,3,7,5,10,9,6,3,10,3,7,6,4,100,AI Engineer
8,5,6,4,4,3,7,7,6,5,9,3,5,3,5,8,6,2,10,100,AI Engineer
2,8,6,10,10,6,6,7,6,2,4,5,10,4,5,5,9,4,5,69,Full Stack Developer
7,4,5,3,6,5,6,8,10,7,7,8,5,7,7,1,6,8,7,73,Data Analyst
9,4,5,6,6,10,6,4,10,8,8,6,8,6,9,4,4,6,5,85,Data Analyst
8,4,6,3,2,7,10,4,7,4,9,7,6,5,9,5,1,10,5,100,AI Engineer
5,4,1,0,9,10,4,2,6,5,10,8,3,3,7,6,6,9,6,79,Data Analyst
7,3,7,4,6,4,10,3,6,5,10,5,6,7,8,5,7,6,8,28,AI Engineer
5,1,5,3,4,10,4,4,6,3,8,8,8,2,6,2,6,4,8,100,Data Analyst
8,2,6,6,5,3,1,2,6,7,5,7,5,6,3,9,6,10,7,98,Cybersecurity Engineer
3,4,4,7,7,5,8,4,4,0,10,6,3,4,9,5,8,7,2,60,AI Engineer
7,6,6,6,2,2,8,6,5,5,5,1,4,4,9,5,4,10,3,39,Cybersecurity Engineer
3,5,5,8,5,9,5,9,8,5,3,8,7,5,5,8,7,7,4,100,Cybersecurity Engineer
0,2,8,0,2,8,5,3,4,5,4,6,4,7,10,7,6,7,2,100,Cybersecurity Engineer
3,4,7,10,8,10,3,9,7,4,1,4,4,9,3,2,7,7,10,87,Full Stack Developer
8,6,7,6,5,8,7,4,3,10,9,9,7,7,8,5,3,6,6,100,Cybersecurity Engineer
4,7,10,5,0,5,7,4,4,6,5,10,7,3,2,6,4,9,6,100,Cybersecurity Engineer
7,5,0,5,4,5,7,6,5,4,10,7,6,5,10,6,10,4,3,100,AI Engineer
7,5,5,9,4,5,4,9,10,8,6,10,6,5,7,7,7,8,4,89,Data Analyst
6,4,8,2,2,5,5,4,7,9,4,5,7,5,4,8,8,8,3,100,Cybersecurity Engineer
4,7,8,4,6,5,3,6,5,9,7,10,7,7,5,8,5,10,10,100,Cybersecurity Engineer
8,7,5,5,8,6,5,5,10,7,10,3,6,3,7,9,1,9,6,100,Data Analyst
7,8,0,4,2,8,10,6,7,4,10,9,6,6,9,0,6,7,7,97,AI Engineer
2,5,9,4,5,9,7,9,8,6,8,8,5,6,10,8,6,5,3,100,Data Analyst
5,8,4,4,6,8,2,5,2,9,5,3,1,8,8,7,9,10,4,100,Cybersecurity Engineer
4,5,10,5,6,8,6,1,4,8,9,10,8,4,8,5,4,10,8,100,AI Engineer
2,4,4,8,9,9,1,5,2,5,6,9,10,7,3,2,8,8,7,89,Full Stack Developer
5,5,3,3,4,8,3,5,4,3,9,5,1,5,9,1,10,4,6,82,AI Engineer
5,8,4,2,4,10,2,7,7,7,10,7,7,1,6,6,5,4,8,99,Data Analyst
3,8,6,3,3,10,6,1,8,6,4,5,3,7,6,4,8,3,7,98,Data Analyst
10,4,6,6,3,5,7,3,7,9,10,7,8,6,4,8,6,6,7,96,AI Engineer
6,6,4,2,5,4,7,3,6,8,6,7,7,8,4,7,6,10,8,85,Cybersecurity Engineer
7,5,8,5,7,5,9,7,8,4,10,10,2,2,6,6,5,8,6,87,AI Engineer
7,2,5,8,4,5,4,2,4,9,5,6,5,6,7,4,5,10,5,76,Cybersecurity Engineer
2,8,4,10,10,4,5,5,2,1,4,7,6,8,9,3,6,4,9,100,Full Stack Developer
5,6,6,9,10,7,10,10,7,6,2,6,10,6,4,6,3,2,8,100,Full Stack Developer
8,8,4,5,2,10,7,3,3,2,7,5,1,3,10,7,7,6,9,55,AI Engineer
3,6,4,3,2,4,5,1,2,10,9,7,4,9,8,1,8,5,3,98,Cybersecurity Engineer
6,6,6,2,3,2,1,3,3,7,3,10,6,5,10,10,4,8,3,100,Cybersecurity Engineer
5,4,4,2,2,2,4,4,5,7,5,3,2,5,6,5,1,10,4,65,Cybersecurity Engineer
3,5,6,10,9,7,2,10,2,6,4,2,7,9,9,4,6,7,9,100,Full Stack Developer
2,8,2,5,9,5,5,6,6,6,4,7,1,5,3,4,4,3,3,94,Full Stack Developer
10,4,5,2,6,4,7,4,9,3,8,8,10,6,6,5,4,2,4,73,AI Engineer
